Mod:Item:MetaData, Localized Name
chisel:glassdyedyellow:2, 黄色染色玻璃
chisel:glassdyedyellow:3, 黄色染色玻璃
chisel:glassdyedyellow:4, 黄色染色玻璃
chisel:glassdyedyellow:5, 黄色染色玻璃
chisel:glasspanedyedyellow:0, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:1, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:2, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:3, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:4, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:5, Yellow Stained Glass Pane
chisel:glassdyedlightblue:0, 淡蓝色染色玻璃
chisel:glassdyedlightblue:1, 淡蓝色染色玻璃
chisel:glassdyedlightblue:2, 淡蓝色染色玻璃
chisel:glassdyedlightblue:3, 淡蓝色染色玻璃
chisel:glassdyedlightblue:4, 淡蓝色染色玻璃
chisel:glassdyedlightblue:5, 淡蓝色染色玻璃
chisel:glasspanedyedlightblue:0, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:1, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:2, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:3, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:4, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:5, Light Blue Stained Glass Pane
chisel:glassdyedmagenta:0, 品红色染色玻璃
chisel:glassdyedmagenta:1, 品红色染色玻璃
chisel:glassdyedmagenta:2, 品红色染色玻璃
chisel:glassdyedmagenta:3, 品红色染色玻璃
chisel:glassdyedmagenta:4, 品红色染色玻璃
chisel:glassdyedmagenta:5, 品红色染色玻璃
chisel:glasspanedyedmagenta:0, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:1, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:2, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:3, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:4, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:5, Magenta Stained Glass Pane
chisel:glassdyedorange:0, 橙色染色玻璃
chisel:glassdyedorange:1, 橙色染色玻璃
chisel:glassdyedorange:2, 橙色染色玻璃
chisel:glassdyedorange:3, 橙色染色玻璃
chisel:glassdyedorange:4, 橙色染色玻璃
chisel:glassdyedorange:5, 橙色染色玻璃
chisel:glasspanedyedorange:0, Orange Stained Glass Pane
chisel:glasspanedyedorange:1, Orange Stained Glass Pane
chisel:glasspanedyedorange:2, Orange Stained Glass Pane
chisel:glasspanedyedorange:3, Orange Stained Glass Pane
chisel:glasspanedyedorange:4, Orange Stained Glass Pane
chisel:glasspanedyedorange:5, Orange Stained Glass Pane
chisel:glassdyedwhite:0, 白色染色玻璃
chisel:glassdyedwhite:1, 白色染色玻璃
chisel:glassdyedwhite:2, 白色染色玻璃
chisel:glassdyedwhite:3, 白色染色玻璃
chisel:glassdyedwhite:4, 白色染色玻璃
chisel:glassdyedwhite:5, 白色染色玻璃
chisel:glasspanedyedwhite:0, White Stained Glass Pane
chisel:glasspanedyedwhite:1, White Stained Glass Pane
chisel:glasspanedyedwhite:2, White Stained Glass Pane
chisel:glasspanedyedwhite:3, White Stained Glass Pane
chisel:glasspanedyedwhite:4, White Stained Glass Pane
chisel:glasspanedyedwhite:5, White Stained Glass Pane
chisel:glowstone:0, 荧石
chisel:glowstone:1, 荧石
chisel:glowstone:2, 荧石
chisel:glowstone:3, 荧石
chisel:glowstone:4, 荧石
chisel:glowstone:5, 荧石
chisel:glowstone:6, 荧石
chisel:glowstone:7, 荧石
chisel:glowstone:8, 荧石
chisel:glowstone:9, 荧石
chisel:glowstone:10, 荧石
chisel:glowstone:11, 荧石
chisel:glowstone:12, 荧石
chisel:glowstone:13, 荧石
chisel:glowstone:14, 荧石
chisel:glowstone:15, 荧石
chisel:glowstone1:0, 荧石
chisel:glowstone1:1, 荧石
chisel:glowstone1:2, 荧石
chisel:glowstone1:3, 荧石
chisel:glowstone1:4, 荧石
chisel:glowstone1:5, 荧石
chisel:glowstone1:6, 荧石
chisel:glowstone1:7, 荧石
chisel:glowstone1:8, 荧石
chisel:glowstone1:9, 荧石
chisel:glowstone1:10, 荧石
chisel:glowstone1:11, 荧石
chisel:glowstone1:12, 荧石
chisel:glowstone1:13, 荧石
chisel:glowstone1:14, 荧石
chisel:glowstone1:15, 荧石
chisel:glowstone2:0, 荧石
chisel:blockgold:0, 金块
chisel:blockgold:1, 金块
chisel:blockgold:2, 金块
chisel:blockgold:3, 金块
chisel:blockgold:4, 金块
chisel:blockgold:5, 金块
chisel:blockgold:6, 金块
chisel:gold:0, 金块
chisel:gold:1, 金块
chisel:gold:2, 金块
chisel:gold:3, 金块
chisel:gold:4, 金块
chisel:gold:5, 金块
chisel:gold:6, 金块
chisel:gold:7, 金块
chisel:gold:8, 金块
chisel:gold:9, 金块
chisel:gold:10, 金块
chisel:gold:11, 金块
chisel:gold:12, 金块
chisel:gold:13, 金块
chisel:granite:0, 花岗岩
chisel:granite:1, 花岗岩
chisel:granite:2, 花岗岩
chisel:granite:3, 花岗岩
chisel:granite:4, 花岗岩
chisel:granite:5, 花岗岩
chisel:granite:6, 花岗岩
chisel:granite:7, 花岗岩
chisel:granite:8, 花岗岩
chisel:granite:9, 花岗岩
chisel:granite:10, 花岗岩
chisel:granite:11, 花岗岩
chisel:granite:12, 花岗岩
chisel:granite:13, 花岗岩
chisel:granite:14, 花岗岩
chisel:granite:15, 花岗岩
chisel:granite1:0, 花岗岩
chisel:granite1:1, 花岗岩
chisel:granite1:2, 花岗岩
chisel:granite1:3, 花岗岩
chisel:granite1:4, 花岗岩
chisel:granite1:5, 花岗岩
chisel:granite1:6, 花岗岩
chisel:granite1:7, 花岗岩
chisel:granite1:8, 花岗岩
chisel:granite1:9, 花岗岩
chisel:granite1:10, 花岗岩
chisel:granite1:11, 花岗岩
chisel:granite1:12, 花岗岩
chisel:granite1:13, 花岗岩
chisel:granite1:14, 花岗岩
chisel:granite1:15, 花岗岩
chisel:granite2:0, 花岗岩
chisel:hardenedclay:0, 陶瓦
chisel:hardenedclay:1, 陶瓦
chisel:hardenedclay:2, 陶瓦
chisel:hardenedclay:3, 陶瓦
chisel:hardenedclay:4, 陶瓦
chisel:hardenedclay:5, 陶瓦
chisel:hardenedclay:6, 陶瓦
chisel:hardenedclay:7, 陶瓦
chisel:hardenedclay:8, 陶瓦
chisel:hardenedclay:9, 陶瓦
chisel:hardenedclay:10, 陶瓦
chisel:hardenedclay:11, 陶瓦
chisel:hardenedclay:12, 陶瓦
chisel:hardenedclay:13, 陶瓦
chisel:hardenedclay:14, 陶瓦
chisel:hardenedclay:15, 陶瓦
chisel:hardenedclay1:0, 陶瓦
chisel:hardenedclay1:1, 陶瓦
chisel:hardenedclay1:2, 陶瓦
chisel:hardenedclay1:3, 陶瓦
chisel:hardenedclay1:4, 陶瓦
chisel:hardenedclay1:5, 陶瓦
chisel:hardenedclay1:6, 陶瓦
chisel:hardenedclay1:7, 陶瓦
chisel:hardenedclay1:8, 陶瓦
chisel:hardenedclay1:9, 陶瓦
chisel:hardenedclay2:0, 陶瓦
chisel:hardenedclay2:1, 陶瓦
chisel:hardenedclay2:2, 陶瓦
chisel:hardenedclay2:3, 陶瓦
chisel:hardenedclay2:4, 陶瓦
chisel:hardenedclay2:5, 陶瓦
chisel:hardenedclay2:6, 陶瓦
chisel:ice:0, 冰
chisel:ice:1, 冰
chisel:ice:2, 冰
chisel:ice:3, 冰
chisel:ice:4, 冰
chisel:ice:5, 冰
chisel:ice:6, 冰
chisel:ice:7, 冰
chisel:ice:8, 冰
chisel:ice:9, 冰
chisel:ice:10, 冰
chisel:ice:11, 冰
chisel:ice:12, 冰
chisel:ice:13, 冰
chisel:ice:14, 冰
chisel:ice:15, 冰
chisel:ice1:0, 冰
chisel:ice1:1, 冰
chisel:ice1:2, 冰
chisel:ice1:3, 冰
chisel:ice1:4, 冰
chisel:ice1:5, 冰
chisel:ice1:6, 冰
chisel:ice1:7, 冰
chisel:ice1:8, 冰
chisel:ice1:9, 冰
chisel:ice1:10, 冰
chisel:ice1:11, 冰
chisel:ice1:12, 冰
chisel:ice1:13, 冰
chisel:ice1:14, 冰
chisel:ice1:15, 冰
chisel:ice2:0, 冰
chisel:icepillar:0, 冰柱
chisel:icepillar:1, 冰柱
chisel:icepillar:2, 冰柱
chisel:icepillar:3, 冰柱
chisel:icepillar:4, 冰柱
chisel:icepillar:5, 冰柱
chisel:icepillar:6, 冰柱
chisel:blockinvar:0, 因瓦合金块
chisel:blockinvar:1, 因瓦合金块
chisel:blockinvar:2, 因瓦合金块
chisel:blockinvar:3, 因瓦合金块
chisel:blockinvar:4, 因瓦合金块
chisel:blockinvar:5, 因瓦合金块
chisel:blockinvar:6, 因瓦合金块
chisel:blockiron:0, 铁块
chisel:blockiron:1, 铁块
chisel:blockiron:2, 铁块
chisel:blockiron:3, 铁块
chisel:blockiron:4, 铁块
chisel:blockiron:5, 铁块
chisel:blockiron:6, 铁块
chisel:iron:0, 铁块
chisel:iron:1, 铁块
chisel:iron:2, 铁块
chisel:iron:3, 铁块
chisel:iron:4, 铁块
chisel:iron:5, 铁块
chisel:iron:6, 铁块
chisel:iron:7, 铁块
chisel:iron:8, 铁块
chisel:iron:9, 铁块
chisel:iron:10, 铁块
chisel:iron:11, 铁块
chisel:iron:12, 铁块
chisel:iron:13, 铁块
chisel:iron:14, 铁块
chisel:ironpane:0, 铁栅栏
chisel:ironpane:1, 铁栅栏
chisel:ironpane:2, 铁栅栏
chisel:ironpane:3, 铁栅栏
chisel:ironpane:4, 铁栅栏
chisel:ironpane:5, 铁栅栏
chisel:ironpane:6, 铁栅栏
chisel:ironpane:7, 铁栅栏
chisel:ironpane:8, 铁栅栏
chisel:ironpane:9, 铁栅栏
chisel:ironpane:10, 铁栅栏
chisel:ironpane:11, 铁栅栏
chisel:ironpane:12, 铁栅栏
chisel:laboratory:0, 实验室方块
chisel:laboratory:1, 实验室方块
chisel:laboratory:2, 实验室方块
chisel:laboratory:3, 实验室方块
chisel:laboratory:4, 实验室方块
chisel:laboratory:5, 实验室方块
chisel:laboratory:6, 实验室方块
chisel:laboratory:7, 实验室方块
chisel:laboratory:8, 实验室方块
chisel:laboratory:9, 实验室方块
chisel:laboratory:10, 实验室方块
chisel:laboratory:11, 实验室方块
chisel:laboratory:12, 实验室方块
chisel:laboratory:13, 实验室方块
chisel:laboratory:14, 实验室方块
chisel:laboratory:15, 实验室方块
chisel:lapis:0, 青金石块
chisel:lapis:1, 青金石块
chisel:lapis:2, 青金石块
chisel:lapis:3, 青金石块
chisel:lapis:4, 青金石块
chisel:lapis:5, 青金石块
chisel:lapis:6, 青金石块
chisel:lapis:7, 青金石块
chisel:lapis:8, 青金石块
chisel:lavastone:0, 熔岩石
chisel:lavastone:1, 熔岩石
chisel:lavastone:2, 熔岩石
chisel:lavastone:3, 熔岩石
chisel:lavastone:4, 熔岩石
chisel:lavastone:5, 熔岩石
chisel:lavastone:6, 熔岩石
chisel:lavastone:7, 熔岩石
chisel:lavastone:8, 熔岩石
chisel:lavastone:9, 熔岩石
chisel:lavastone:10, 熔岩石
chisel:lavastone:11, 熔岩石
chisel:lavastone:12, 熔岩石
chisel:lavastone:13, 熔岩石
chisel:lavastone:14, 熔岩石
chisel:lavastone:15, 熔岩石
chisel:lavastone1:0, 熔岩石
chisel:lavastone1:1, 熔岩石
chisel:lavastone1:2, 熔岩石
chisel:lavastone1:3, 熔岩石
chisel:lavastone1:4, 熔岩石
chisel:lavastone1:5, 熔岩石
chisel:lavastone1:6, 熔岩石
chisel:lavastone1:7, 熔岩石
chisel:lavastone1:8, 熔岩石
chisel:lavastone1:9, 熔岩石
chisel:lavastone1:10, 熔岩石
chisel:lavastone1:11, 熔岩石
chisel:lavastone1:12, 熔岩石
chisel:lavastone1:13, 熔岩石
chisel:lavastone1:14, 熔岩石
chisel:lavastone1:15, 熔岩石
chisel:lavastone2:0, 熔岩石
chisel:blocklead:0, 铅块
chisel:blocklead:1, 铅块
chisel:blocklead:2, 铅块
chisel:blocklead:3, 铅块
chisel:blocklead:4, 铅块
chisel:blocklead:5, 铅块
chisel:blocklead:6, 铅块
chisel:limestone:0, 石灰岩
chisel:limestone:1, 石灰岩
chisel:limestone:2, 石灰岩
chisel:limestone:3, 石灰岩
chisel:limestone:4, 石灰岩
chisel:limestone:5, 石灰岩
chisel:limestone:6, 石灰岩
chisel:limestone:7, 石灰岩
chisel:limestone:8, 石灰岩
chisel:limestone:9, 石灰岩
chisel:limestone:10, 石灰岩
chisel:limestone:11, 石灰岩
chisel:limestone:12, 石灰岩
chisel:limestone:13, 石灰岩
chisel:limestone:14, 石灰岩
chisel:limestone:15, 石灰岩
chisel:limestone1:0, 石灰岩
chisel:limestone1:1, 石灰岩
chisel:limestone1:2, 石灰岩
chisel:limestone1:3, 石灰岩
chisel:limestone1:4, 石灰岩
chisel:limestone1:5, 石灰岩
chisel:limestone1:6, 石灰岩
chisel:limestone1:7, 石灰岩
chisel:limestone1:8, 石灰岩
chisel:limestone1:9, 石灰岩
chisel:limestone2:0, 石灰岩
chisel:limestone2:1, 石灰岩
chisel:limestone2:2, 石灰岩
chisel:limestone2:3, 石灰岩
chisel:limestone2:4, 石灰岩
chisel:limestone2:5, 石灰岩
chisel:limestone2:6, 石灰岩
chisel:limestone2:7, 石灰岩
chisel:marble:0, 大理石
chisel:marble:1, 大理石
chisel:marble:2, 大理石
chisel:marble:3, 大理石
chisel:marble:4, 大理石
chisel:marble:5, 大理石
chisel:marble:6, 大理石
chisel:marble:7, 大理石
chisel:marble:8, 大理石
chisel:marble:9, 大理石
chisel:marble:10, 大理石
chisel:marble:11, 大理石
chisel:marble:12, 大理石
chisel:marble:13, 大理石
chisel:marble:14, 大理石
chisel:marble:15, 大理石
chisel:marble1:0, 大理石
chisel:marble1:1, 大理石
chisel:marble1:2, 大理石
chisel:marble1:3, 大理石
chisel:marble1:4, 大理石
chisel:marble1:5, 大理石
chisel:marble1:6, 大理石
chisel:marble1:7, 大理石
chisel:marble1:8, 大理石
chisel:marble1:9, 大理石
chisel:marble2:0, 大理石
chisel:marble2:1, 大理石
chisel:marble2:2, 大理石
chisel:marble2:3, 大理石
chisel:marble2:4, 大理石
chisel:marble2:5, 大理石
chisel:marble2:6, 大理石
chisel:marble2:7, 大理石
chisel:marblepillar:0, 大理石柱
chisel:marblepillar:1, 大理石柱
chisel:marblepillar:2, 大理石柱
chisel:marblepillar:3, 大理石柱
chisel:marblepillar:4, 大理石柱
chisel:marblepillar:5, 大理石柱
chisel:marblepillar:6, 大理石柱
chisel:marblepillar:7, 大理石柱
chisel:marblepillar:8, 大理石柱
chisel:marblepillar:9, 大理石柱
chisel:marblepillar:10, 大理石柱
chisel:marblepillar:11, 大理石柱
chisel:marblepillar:12, 大理石柱
chisel:marblepillar:13, 大理石柱
chisel:marblepillar:14, 大理石柱
chisel:marblepillar:15, 大理石柱
chisel:netherbrick:0, 地狱砖
chisel:netherbrick:1, 地狱砖
chisel:netherbrick:2, 地狱砖
chisel:netherbrick:3, 地狱砖
chisel:netherbrick:4, 地狱砖
chisel:netherbrick:5, 地狱砖
chisel:netherbrick:6, 地狱砖
chisel:netherbrick:7, 地狱砖
chisel:netherbrick:8, 地狱砖
chisel:netherbrick:9, 地狱砖
chisel:netherbrick:10, 地狱砖
chisel:netherbrick:11, 地狱砖
chisel:netherbrick:12, 地狱砖
chisel:netherbrick:13, 地狱砖
chisel:netherbrick:14, 地狱砖
chisel:netherbrick:15, 地狱砖
chisel:netherrack:0, 地狱岩
chisel:netherrack:1, 地狱岩
chisel:netherrack:2, 地狱岩
chisel:netherrack:3, 地狱岩
chisel:netherrack:4, 地狱岩
chisel:netherrack:5, 地狱岩
chisel:netherrack:6, 地狱岩
chisel:netherrack:7, 地狱岩
chisel:netherrack:8, 地狱岩
chisel:netherrack:9, 地狱岩
chisel:netherrack:10, 地狱岩
chisel:netherrack:11, 地狱岩
chisel:netherrack:12, 地狱岩
chisel:netherrack:13, 地狱岩
chisel:blocknickel:0, 镍块
chisel:blocknickel:1, 镍块
chisel:blocknickel:2, 镍块
chisel:blocknickel:3, 镍块
chisel:blocknickel:4, 镍块
chisel:blocknickel:5, 镍块
chisel:blocknickel:6, 镍块
chisel:obsidian:0, 黑曜石
chisel:obsidian:1, 黑曜石
chisel:obsidian:2, 黑曜石
chisel:obsidian:3, 黑曜石
chisel:obsidian:4, 黑曜石
chisel:obsidian:5, 黑曜石
chisel:obsidian:6, 黑曜石
chisel:obsidian:7, 黑曜石
chisel:obsidian:8, 黑曜石
chisel:obsidian:9, 黑曜石
chisel:obsidian:10, 黑曜石
chisel:obsidian:11, 黑曜石
chisel:obsidian:12, 黑曜石
chisel:obsidian:13, 黑曜石
chisel:obsidian:14, 黑曜石
chisel:paper:0, 障子
chisel:paper:1, 障子
chisel:paper:2, 障子
chisel:paper:3, 障子
chisel:paper:4, 障子
chisel:paper:5, 障子
chisel:paper:6, 障子
chisel:paper:7, 障子
chisel:paper:8, 障子
chisel:planks-oak:0, 橡木木板
chisel:planks-oak:1, 橡木木板
chisel:planks-oak:2, 橡木木板
chisel:planks-oak:3, 橡木木板
chisel:planks-oak:4, 橡木木板
chisel:planks-oak:5, 橡木木板
chisel:planks-oak:6, 橡木木板
chisel:planks-oak:7, 橡木木板
chisel:planks-oak:8, 橡木木板
chisel:planks-oak:9, 橡木木板
chisel:planks-oak:10, 橡木木板
chisel:planks-oak:11, 橡木木板
chisel:planks-oak:12, 橡木木板
chisel:planks-oak:13, 橡木木板
chisel:planks-oak:14, 橡木木板
chisel:planks-spruce:0, 云杉木板
chisel:planks-spruce:1, 云杉木板
chisel:planks-spruce:2, 云杉木板
chisel:planks-spruce:3, 云杉木板
chisel:planks-spruce:4, 云杉木板
chisel:planks-spruce:5, 云杉木板
chisel:planks-spruce:6, 云杉木板
chisel:planks-spruce:7, 云杉木板
chisel:planks-spruce:8, 云杉木板
chisel:planks-spruce:9, 云杉木板
chisel:planks-spruce:10, 云杉木板
chisel:planks-spruce:11, 云杉木板
chisel:planks-spruce:12, 云杉木板
chisel:planks-spruce:13, 云杉木板
chisel:planks-spruce:14, 云杉木板
chisel:planks-birch:0, 白桦木板
chisel:planks-birch:1, 白桦木板
chisel:planks-birch:2, 白桦木板
chisel:planks-birch:3, 白桦木板
chisel:planks-birch:4, 白桦木板
chisel:planks-birch:5, 白桦木板
chisel:planks-birch:6, 白桦木板
chisel:planks-birch:7, 白桦木板
chisel:planks-birch:8, 白桦木板
chisel:planks-birch:9, 白桦木板
chisel:planks-birch:10, 白桦木板
chisel:planks-birch:11, 白桦木板
chisel:planks-birch:12, 白桦木板
chisel:planks-birch:13, 白桦木板
chisel:planks-birch:14, 白桦木板
chisel:planks-jungle:0, 丛林木板
chisel:planks-jungle:1, 丛林木板
chisel:planks-jungle:2, 丛林木板
chisel:planks-jungle:3, 丛林木板
chisel:planks-jungle:4, 丛林木板
chisel:planks-jungle:5, 丛林木板
chisel:planks-jungle:6, 丛林木板
chisel:planks-jungle:7, 丛林木板
chisel:planks-jungle:8, 丛林木板
chisel:planks-jungle:9, 丛林木板
chisel:planks-jungle:10, 丛林木板
chisel:planks-jungle:11, 丛林木板
chisel:planks-jungle:12, 丛林木板
chisel:planks-jungle:13, 丛林木板
chisel:planks-jungle:14, 丛林木板
chisel:planks-acacia:0, 金合欢木板
chisel:planks-acacia:1, 金合欢木板
chisel:planks-acacia:2, 金合欢木板
chisel:planks-acacia:3, 金合欢木板
chisel:planks-acacia:4, 金合欢木板
chisel:planks-acacia:5, 金合欢木板
chisel:planks-acacia:6, 金合欢木板
chisel:planks-acacia:7, 金合欢木板
chisel:planks-acacia:8, 金合欢木板
chisel:planks-acacia:9, 金合欢木板
chisel:planks-acacia:10, 金合欢木板
chisel:planks-acacia:11, 金合欢木板
chisel:planks-acacia:12, 金合欢木板
chisel:planks-acacia:13, 金合欢木板
chisel:planks-acacia:14, 金合欢木板
chisel:planks-dark-oak:0, 深色橡木木板
chisel:planks-dark-oak:1, 深色橡木木板
chisel:planks-dark-oak:2, 深色橡木木板
chisel:planks-dark-oak:3, 深色橡木木板
chisel:planks-dark-oak:4, 深色橡木木板
chisel:planks-dark-oak:5, 深色橡木木板
chisel:planks-dark-oak:6, 深色橡木木板
chisel:planks-dark-oak:7, 深色橡木木板
chisel:planks-dark-oak:8, 深色橡木木板
chisel:planks-dark-oak:9, 深色橡木木板
chisel:planks-dark-oak:10, 深色橡木木板
chisel:planks-dark-oak:11, 深色橡木木板
chisel:planks-dark-oak:12, 深色橡木木板
chisel:planks-dark-oak:13, 深色橡木木板
chisel:planks-dark-oak:14, 深色橡木木板
chisel:blockplatinum:0, 铂块
chisel:blockplatinum:1, 铂块
chisel:blockplatinum:2, 铂块
chisel:blockplatinum:3, 铂块
chisel:blockplatinum:4, 铂块
chisel:blockplatinum:5, 铂块
chisel:blockplatinum:6, 铂块
chisel:prismarine:0, 海晶石
chisel:prismarine:1, 海晶石
chisel:prismarine:2, 海晶石
chisel:prismarine:3, 海晶石
chisel:prismarine:4, 海晶石
chisel:prismarine:5, 海晶石
chisel:prismarine:6, 海晶石
chisel:prismarine:7, 海晶石
chisel:prismarine:8, 海晶石
chisel:prismarine:9, 海晶石
chisel:prismarine:10, 海晶石
chisel:prismarine:11, 海晶石
chisel:prismarine:12, 海晶石
chisel:prismarine:13, 海晶石
chisel:prismarine:14, 海晶石
chisel:prismarine:15, 海晶石
chisel:prismarine1:0, 海晶石
chisel:prismarine1:1, 海晶石
chisel:prismarine1:2, 海晶石
chisel:prismarine1:3, 海晶石
chisel:prismarine1:4, 海晶石
chisel:prismarine1:5, 海晶石
chisel:prismarine1:6, 海晶石
chisel:prismarine1:7, 海晶石
chisel:prismarine1:8, 海晶石
chisel:prismarine1:9, 海晶石
chisel:prismarine2:0, 海晶石
chisel:prismarine2:1, 海晶石
chisel:prismarine2:2, 海晶石
chisel:prismarine2:3, 海晶石
chisel:prismarine2:4, 海晶石
chisel:prismarine2:5, 海晶石
chisel:quartz:0, 石英块
chisel:quartz:1, 石英块
chisel:quartz:2, 石英块
chisel:quartz:3, 石英块
chisel:quartz:4, 石英块
chisel:quartz:5, 石英块
chisel:quartz:6, 石英块
chisel:quartz:7, 石英块
chisel:quartz:8, 石英块
chisel:quartz:9, 石英块
chisel:quartz:10, 石英块
chisel:quartz:11, 石英块
chisel:quartz:12, 石英块
chisel:quartz:13, 石英块
chisel:quartz:14, 石英块
chisel:quartz:15, 石英块
chisel:quartz1:0, 石英块
chisel:quartz1:1, 石英块
chisel:quartz1:2, 石英块
chisel:quartz1:3, 石英块
chisel:quartz1:4, 石英块
chisel:quartz1:5, 石英块
chisel:quartz1:6, 石英块
chisel:quartz1:7, 石英块
chisel:quartz1:8, 石英块
chisel:quartz1:9, 石英块
chisel:quartz1:10, 石英块
chisel:quartz1:11, 石英块
chisel:quartz1:12, 石英块
chisel:quartz1:13, 石英块
chisel:quartz1:14, 石英块
chisel:quartz1:15, 石英块
chisel:redstone:0, 红石块
chisel:redstone:1, 红石块
chisel:redstone:2, 红石块
chisel:redstone:3, 红石块
chisel:redstone:4, 红石块
chisel:redstone:5, 红石块
chisel:redstone:6, 红石块
chisel:redstone:7, 红石块
chisel:redstone:8, 红石块
chisel:redstone:9, 红石块
chisel:redstone:10, 红石块
chisel:redstone:11, 红石块
chisel:redstone:12, 红石块
chisel:redstone:13, 红石块
chisel:redstone:14, 红石块
chisel:redstone:15, 红石块
chisel:redstone1:0, 红石块
chisel:redstone1:1, 红石块
chisel:redstone1:2, 红石块
chisel:redstone1:3, 红石块
chisel:redstone1:4, 红石块
chisel:redstone1:5, 红石块
chisel:redstone1:6, 红石块
chisel:redstone1:7, 红石块
chisel:redstone1:8, 红石块
chisel:redstone1:9, 红石块
chisel:redstone1:10, 红石块
chisel:redstone1:11, 红石块
chisel:sandstoneyellow:0, 砂岩
chisel:sandstoneyellow:1, 砂岩
chisel:sandstoneyellow:2, 砂岩
chisel:sandstoneyellow:3, 砂岩
chisel:sandstoneyellow:4, 砂岩
chisel:sandstoneyellow:5, 砂岩
chisel:sandstoneyellow:6, 砂岩
chisel:sandstoneyellow:7, 砂岩
chisel:sandstoneyellow:8, 砂岩
chisel:sandstoneyellow:9, 砂岩
chisel:sandstoneyellow:10, 砂岩
chisel:sandstoneyellow:11, 砂岩
chisel:sandstoneyellow:12, 砂岩
chisel:sandstoneyellow:13, 砂岩
chisel:sandstoneyellow:14, 砂岩
chisel:sandstoneyellow:15, 砂岩
chisel:sandstoneyellow1:0, 砂岩
chisel:sandstoneyellow1:1, 砂岩
chisel:sandstoneyellow1:2, 砂岩
chisel:sandstoneyellow1:3, 砂岩
chisel:sandstoneyellow1:4, 砂岩
chisel:sandstoneyellow1:5, 砂岩
chisel:sandstoneyellow1:6, 砂岩
chisel:sandstoneyellow1:7, 砂岩
chisel:sandstoneyellow1:8, 砂岩
chisel:sandstoneyellow1:9, 砂岩
chisel:sandstoneyellow2:0, 砂岩
chisel:sandstoneyellow2:1, 砂岩
chisel:sandstoneyellow2:2, 砂岩
chisel:sandstoneyellow2:3, 砂岩
chisel:sandstoneyellow2:4, 砂岩
chisel:sandstoneyellow2:5, 砂岩
chisel:sandstoneyellow2:6, 砂岩
chisel:sandstoneyellow2:7, 砂岩
chisel:sandstonered:0, 红砂岩
chisel:sandstonered:1, 红砂岩
chisel:sandstonered:2, 红砂岩
chisel:sandstonered:3, 红砂岩
chisel:sandstonered:4, 红砂岩
chisel:sandstonered:5, 红砂岩
chisel:sandstonered:6, 红砂岩
chisel:sandstonered:7, 红砂岩
chisel:sandstonered:8, 红砂岩
chisel:sandstonered:9, 红砂岩
chisel:sandstonered:10, 红砂岩
chisel:sandstonered:11, 红砂岩
chisel:sandstonered:12, 红砂岩
chisel:sandstonered:13, 红砂岩
chisel:sandstonered:14, 红砂岩
chisel:sandstonered:15, 红砂岩
chisel:sandstonered1:0, 红砂岩
chisel:sandstonered1:1, 红砂岩
chisel:sandstonered1:2, 红砂岩
chisel:sandstonered1:3, 红砂岩
chisel:sandstonered1:4, 红砂岩
chisel:sandstonered1:5, 红砂岩
chisel:sandstonered1:6, 红砂岩
chisel:sandstonered1:7, 红砂岩
chisel:sandstonered1:8, 红砂岩
chisel:sandstonered1:9, 红砂岩
chisel:sandstonered2:0, 红砂岩
chisel:sandstonered2:1, 红砂岩
chisel:sandstonered2:2, 红砂岩
chisel:sandstonered2:3, 红砂岩
chisel:sandstonered2:4, 红砂岩
chisel:sandstonered2:5, 红砂岩
chisel:sandstonered2:6, 红砂岩
chisel:sandstonered2:7, 红砂岩
chisel:sandstone-scribbles:0, 刻文砂岩
chisel:sandstone-scribbles:1, 刻文砂岩
chisel:sandstone-scribbles:2, 刻文砂岩
chisel:sandstone-scribbles:3, 刻文砂岩
chisel:sandstone-scribbles:4, 刻文砂岩
chisel:sandstone-scribbles:5, 刻文砂岩
chisel:sandstone-scribbles:6, 刻文砂岩
chisel:sandstone-scribbles:7, 刻文砂岩
chisel:sandstone-scribbles:8, 刻文砂岩
chisel:sandstone-scribbles:9, 刻文砂岩
chisel:sandstone-scribbles:10, 刻文砂岩
chisel:sandstone-scribbles:11, 刻文砂岩
chisel:sandstone-scribbles:12, 刻文砂岩
chisel:sandstone-scribbles:13, 刻文砂岩
chisel:sandstone-scribbles:14, 刻文砂岩
chisel:sandstone-scribbles:15, 刻文砂岩
chisel:sandstonered-scribbles:0, Red Sandstone Scribbles
chisel:sandstonered-scribbles:1, Red Sandstone Scribbles
chisel:sandstonered-scribbles:2, Red Sandstone Scribbles
